version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline-control,1,select_ambiguous,1,44639,460.272,1056.000,true
baseline-control,1,tokenize_backslashes,1,28509,333.937,488.000,true
baseline-control,1,index_late,1,203,99730.542,64616.000,true
baseline-control,1,read_insert_insert,1,4580,4515.197,7168.000,true
baseline-control,1,index_sensitive,1,58017,357.576,480.000,true
baseline-control,1,index_whitespace,1,250693,84.955,72.000,true
baseline-control,1,read_cte,1,1435,17484.321,20064.000,true
baseline-control,1,read_simple,1,3622,6160.050,7392.000,true
baseline-control,1,next_quote,1,995,24840.402,8760.000,true
baseline-control,1,read_insert_cte,1,873,24630.011,34976.000,true
baseline-control,1,read_literal,1,6260,3607.141,4032.000,true
baseline-control,1,walk_bounds_comments,1,4545,4424.664,0.000,true
baseline-control,1,index_hash,1,180,122871.667,128880.000,true
baseline-control,1,read_multiple,1,8371,2437.140,4352.000,true
baseline-control,1,read_insert_multiple,1,5384,3750.390,6208.000,true
baseline-control,1,read_upsert,1,135658,143.209,344.000,true
baseline-control,1,end_quote,1,2731,8649.030,0.000,true
baseline-control,1,tokenize_mybatis,1,3783,5590.880,5752.000,true
baseline-control,1,index_missing,1,387,51245.995,50728.000,true
baseline-control,1,walk_tokens_comments,1,2205,9838.458,1920.000,true
baseline-control,1,index_near_matches,1,10,2205990.000,3275376.000,true
baseline-control,1,index_from_inside_quote,1,63492,323.625,464.000,true
baseline-control,1,end_custom,1,95110,215.650,0.000,true
baseline-control,1,next_empty,1,262144,55.458,0.000,true
baseline-control,1,read_mutation,1,65882,310.750,520.000,true
baseline-control,1,classify_insert,1,53666,402.301,896.000,true
baseline-control,1,walk_tokens_simple,1,6008,2634.604,816.000,true
baseline-control,1,read_large,1,149,168941.611,140992.000,true
baseline-control,1,tokenize_tiny,1,247792,106.388,200.000,true
baseline-control,1,walk_bounds_hash,1,180,125344.444,127008.000,true
baseline-control,1,index_custom_separator,1,13191,1491.161,968.000,false
baseline-control,1,select_parenthesized,1,49761,450.863,896.000,true
baseline-control,1,read_insert_mysql_dash,1,47107,335.483,544.000,true
baseline-control,1,index_custom_composite,1,11424,1139.933,792.000,true
baseline-control,1,select_simple,1,41142,605.240,1440.000,true
baseline-control,1,classify_replace,1,157327,125.291,192.000,true
baseline-control,1,read_insert_upsert,1,9529,2194.092,2696.000,true
baseline-control,1,read_executable_comment,1,186034,122.958,248.000,true
baseline-control,1,index_quoted,1,406,51832.512,17664.000,true
baseline-control,1,walk_tokens_hash,1,89,236492.135,255456.000,true
baseline-control,1,walk_tokens_large,1,153,136000.654,25792.000,true
baseline-control,1,read_insert_large,1,68,305555.882,357376.000,true
baseline-control,1,read_insert,1,218461,93.958,224.000,true
baseline-control,1,read_insert_simple,1,1814,12415.436,16928.000,true
baseline-control,1,tokenize_hash_identifiers,1,366,57363.661,65528.000,true
baseline-control,1,end_empty,1,262144,38.339,0.000,true
baseline-control,1,config_default,1,8466,2805.304,9880.000,true
baseline-control,1,tokenize_long_quote,1,581,50300.688,17672.000,true
baseline-control,1,read_insert_comments,1,537,35178.026,33664.000,true
baseline-control,1,read_mysql_dash,1,62871,335.287,544.000,true
baseline-control,1,end_word,1,262144,36.905,0.000,true
baseline-control,1,classify_update,1,55489,350.698,864.000,true
baseline-control,1,read_insert_hash,1,9,2445466.667,2562784.000,true
baseline-control,1,select_cte,1,7856,2713.493,4896.000,true
baseline-control,1,tokenize_simple,1,19365,1199.700,1216.000,true
baseline-control,1,tokenize_keep_comments,1,4119,31273.634,3504.000,true
baseline-control,1,index_early,1,142013,156.419,120.000,true
baseline-control,1,tokenize_large,1,386,131988.342,38120.000,true
baseline-control,1,read_hash,1,9,1454522.222,1534112.000,true
baseline-control,1,tokenize_hash_rows,1,11,1867063.636,331144.000,true
baseline-control,1,index_composite_comments,1,37169,557.069,792.000,true
baseline-control,1,index_composite,1,9265,2199.644,2256.000,true
baseline-control,1,read_insert_literal,1,3604,6172.309,7424.000,true
baseline-control,1,end_trivia,1,262144,74.031,0.000,true
baseline-control,1,tokenize_custom,1,3507,1388.908,600.000,true
baseline-control,1,next_custom,1,87639,231.525,48.000,false
baseline-control,1,read_quoted_large,1,73,270778.082,107904.000,true
baseline-control,1,tokenize_array,1,397,11291.940,4248.000,true
baseline-control,1,select_quotes,1,53754,429.711,960.000,true
baseline-control,1,tokenize_unicode,1,7639,781.228,1088.000,true
baseline-control,1,classify_delete,1,41031,384.580,960.000,true
baseline-control,1,read_insert_mutation,1,66562,320.108,520.000,true
baseline-control,1,tokenize_comments,1,4942,33517.200,2464.000,true
baseline-control,1,read_insert_quoted_large,1,60,515593.333,110528.000,true
baseline-control,1,next_word,1,262144,82.790,48.000,true
baseline-control,1,read_comments,1,384,20204.688,16448.000,true
baseline-control,1,end_hash,1,45647,451.296,288.000,true
baseline-control,1,walk_bounds_simple,1,16921,1173.849,0.000,true
baseline-control,1,next_trivia,1,226910,92.321,48.000,true
baseline-control,1,read_insert_executable_comment,1,175160,112.927,248.000,true
baseline-control,1,next_hash,1,44336,480.161,336.000,true
baseline-control,1,walk_bounds_large,1,316,66318.354,0.000,true
baseline-control,1,config_custom,1,7205,2890.798,10288.000,true
baseline-control,1,walk_tokens_large,2,153,143903.922,25792.000,true
baseline-control,1,tokenize_keep_comments,2,4119,38111.775,3504.000,true
baseline-control,1,select_ambiguous,2,44639,440.095,1056.000,true
