version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
current,1,select_ambiguous,1,58573,593.762,1008.000,true
current,1,tokenize_backslashes,1,101111,183.356,344.000,true
current,1,index_late,1,1263,16260.174,0.000,true
current,1,read_insert_insert,1,20693,1023.815,704.000,true
current,1,index_sensitive,1,103970,198.184,0.000,true
current,1,index_whitespace,1,262144,45.411,0.000,true
current,1,read_cte,1,4603,3580.534,4488.000,true
current,1,read_simple,1,6303,1990.814,1392.000,true
current,1,next_quote,1,28846,794.277,8760.000,true
current,1,read_insert_cte,1,4685,4556.265,4568.000,true
current,1,read_literal,1,21175,848.822,720.000,true
current,1,walk_bounds_comments,1,24709,868.671,0.000,true
current,1,index_hash,1,2527,7527.740,632.000,true
current,1,read_multiple,1,18205,585.037,584.000,true
current,1,read_insert_multiple,1,23381,949.818,664.000,true
current,1,read_upsert,1,262144,14.880,0.000,true
current,1,end_quote,1,146541,144.823,0.000,true
current,1,tokenize_mybatis,1,8511,2419.222,3496.000,true
current,1,index_missing,1,1256,16198.248,0.000,true
current,1,walk_tokens_comments,1,10901,1820.888,192.000,true
current,1,index_near_matches,1,1278,16571.127,0.000,true
current,1,index_from_inside_quote,1,142787,141.888,0.000,true
current,1,end_custom,1,262144,15.652,0.000,true
current,1,next_empty,1,262144,33.606,0.000,true
current,1,read_mutation,1,74379,257.520,200.000,true
current,1,classify_insert,1,219456,93.001,48.000,true
current,1,walk_tokens_simple,1,21327,890.181,576.000,true
current,1,read_large,1,506,51040.316,27248.000,true
current,1,tokenize_tiny,1,262144,59.143,152.000,true
current,1,walk_bounds_hash,1,1085,20883.687,7584.000,true
current,1,index_custom_separator,1,243231,88.193,48.000,true
current,1,select_parenthesized,1,250444,105.707,48.000,true
current,1,read_insert_mysql_dash,1,66855,307.301,400.000,true
current,1,index_custom_composite,1,52192,383.114,0.000,true
current,1,select_simple,1,185844,182.361,48.000,true
current,1,classify_replace,1,262144,63.595,0.000,true
current,1,read_insert_upsert,1,21356,931.794,112.000,true
current,1,read_executable_comment,1,209140,97.358,0.000,true
current,1,index_quoted,1,4192,4480.749,0.000,true
current,1,walk_tokens_hash,1,548,40621.898,15936.000,true
current,1,walk_tokens_large,1,584,37353.253,13504.000,true
current,1,read_insert_large,1,313,68195.208,27328.000,true
current,1,read_insert,1,262144,12.630,0.000,true
current,1,read_insert_simple,1,6547,2374.110,1472.000,true
current,1,tokenize_hash_identifiers,1,2212,7511.031,1984.000,true
current,1,end_empty,1,262144,30.154,0.000,true
current,1,config_default,1,262144,8.626,24.000,true
current,1,tokenize_long_quote,1,22112,1210.696,9920.000,true
current,1,read_insert_comments,1,995,17088.543,6936.000,true
current,1,read_mysql_dash,1,68495,300.996,400.000,true
current,1,end_word,1,262144,28.756,0.000,true
current,1,classify_update,1,254509,81.571,48.000,true
current,1,read_insert_hash,1,1351,15092.820,2488.000,true
current,1,select_cte,1,31831,627.379,1080.000,true
current,1,tokenize_simple,1,38877,569.236,976.000,true
current,1,tokenize_keep_comments,1,13612,1348.398,1776.000,true
current,1,index_early,1,262144,64.589,0.000,true
current,1,tokenize_large,1,1057,22627.058,27112.000,true
current,1,read_hash,1,1768,12225.792,2408.000,true
current,1,tokenize_hash_rows,1,120,10170.833,2624.000,true
current,1,index_composite_comments,1,141315,150.166,0.000,true
current,1,index_composite,1,46714,444.860,0.000,true
current,1,read_insert_literal,1,14959,1250.150,800.000,true
current,1,end_trivia,1,262144,57.052,0.000,true
current,1,tokenize_custom,1,61098,315.051,392.000,true
current,1,next_custom,1,262144,24.575,48.000,true
current,1,read_quoted_large,1,2441,11343.957,26784.000,true
current,1,tokenize_array,1,46844,681.466,3208.000,true
current,1,select_quotes,1,162605,122.151,192.000,true
current,1,tokenize_unicode,1,19901,437.455,848.000,true
current,1,classify_delete,1,208329,107.465,48.000,true
current,1,read_insert_mutation,1,61722,259.332,200.000,true
current,1,tokenize_comments,1,13334,1411.459,736.000,true
current,1,read_insert_quoted_large,1,2137,12420.215,26864.000,true
current,1,next_word,1,262144,35.189,48.000,true
current,1,read_comments,1,1215,11547.901,6776.000,true
current,1,end_hash,1,178660,113.103,200.000,true
current,1,walk_bounds_simple,1,51065,405.311,0.000,true
current,1,next_trivia,1,262144,64.878,48.000,true
current,1,read_insert_executable_comment,1,213591,100.165,0.000,true
current,1,next_hash,1,154029,138.267,248.000,true
current,1,walk_bounds_large,1,1287,15951.748,0.000,true
current,1,config_custom,1,542,2471.587,6704.369,true
current,1,walk_tokens_large,2,584,33864.897,13504.000,true
current,1,tokenize_keep_comments,2,13612,1334.418,1776.000,true
current,1,select_ambiguous,2,58573,408.463,1008.000,true
current,1,walk_bounds_simple,2,51065,394.286,0.000,true
current,1,read_cte,2,4603,3535.173,4488.000,true
current,1,read_insert_mutation,2,61722,280.006,200.000,true
current,1,read_comments,2,1215,11338.765,6776.000,true
current,1,next_custom,2,262144,23.970,48.000,true
current,1,read_insert_comments,2,995,16575.276,6936.000,true
current,1,config_default,2,262144,7.619,24.000,true
current,1,next_empty,2,262144,34.717,0.000,true
current,1,read_literal,2,21175,838.361,720.000,true
current,1,index_hash,2,2527,7374.871,632.000,true
current,1,walk_bounds_large,2,1287,16007.770,0.000,true
current,1,read_multiple,2,18205,551.524,584.000,true
current,1,index_composite,2,46714,445.881,0.000,true
current,1,read_large,2,506,48723.715,27248.000,true
current,1,read_executable_comment,2,209140,97.235,0.000,true
current,1,tokenize_custom,2,61098,326.389,392.000,true
current,1,select_parenthesized,2,250444,108.914,48.000,true
current,1,next_quote,2,28846,976.985,8760.000,true
current,1,read_upsert,2,262144,12.333,0.000,true
current,1,tokenize_hash_rows,2,120,13881.667,2624.000,true
current,1,end_empty,2,262144,32.346,0.000,true
current,1,index_near_matches,2,1278,16059.859,0.000,true
current,1,end_quote,2,146541,144.231,0.000,true
current,1,read_insert_mysql_dash,2,66855,314.488,400.000,true
current,1,end_custom,2,262144,16.430,0.000,true
current,1,read_insert_large,2,313,67735.783,27328.000,true
current,1,tokenize_mybatis,2,8511,2687.099,3496.000,true
current,1,read_insert_literal,2,14959,1258.634,800.000,true
current,1,index_whitespace,2,262144,46.553,0.000,true
current,1,read_insert_insert,2,20693,1043.469,704.000,true
current,1,index_sensitive,2,103970,197.768,0.000,true
current,1,next_hash,2,154029,127.257,248.000,true
current,1,read_insert_upsert,2,21356,950.548,112.000,true
current,1,select_quotes,2,162605,127.160,192.000,true
current,1,classify_update,2,254509,81.346,48.000,true
current,1,walk_tokens_comments,2,10901,1793.157,192.000,true
current,1,read_mysql_dash,2,68495,317.633,400.000,true
current,1,tokenize_backslashes,2,101111,187.232,344.000,true
current,1,index_custom_separator,2,243231,93.035,48.000,true
current,1,index_composite_comments,2,141315,148.984,0.000,true
current,1,tokenize_large,2,1057,23022.233,27112.000,true
current,1,read_insert_hash,2,1351,14796.447,2488.000,true
